,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type_id,paperless_billing,payment_type_id,monthly_charges,total_charges,churn,contract_type_id,contract_type,internet_service_type_id,internet_service_type,payment_type_id,payment_type
0,0016-QLJIS,Female,0,Yes,Yes,65,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,2,90.45,5957.9,No,3,Two year,1,DSL,2,Mailed check
1,0017-DINOC,Male,0,No,No,54,No,No phone service,1,Yes,No,No,Yes,Yes,No,3,No,4,45.2,2460.55,No,3,Two year,1,DSL,4,Credit card (automatic)
2,0019-GFNTW,Female,0,No,No,56,No,No phone service,1,Yes,Yes,Yes,Yes,No,No,3,No,3,45.05,2560.1,No,3,Two year,1,DSL,3,Bank transfer (automatic)
3,0056-EPFBG,Male,0,Yes,Yes,20,No,No phone service,1,Yes,No,Yes,Yes,No,No,3,Yes,4,39.4,825.4,No,3,Two year,1,DSL,4,Credit card (automatic)
4,0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,3,Yes,3,85.15,6316.2,No,3,Two year,1,DSL,3,Bank transfer (automatic)
5,0114-IGABW,Female,0,Yes,No,71,No,No phone service,1,No,Yes,Yes,Yes,Yes,Yes,3,No,3,58.25,4145.9,No,3,Two year,1,DSL,3,Bank transfer (automatic)
6,0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,2,88.1,5526.75,No,3,Two year,1,DSL,2,Mailed check
7,0191-EQUUH,Female,0,No,Yes,25,No,No phone service,1,Yes,No,No,Yes,No,No,3,No,3,35.05,844.45,No,3,Two year,1,DSL,3,Bank transfer (automatic)
8,0214-JHPFW,Female,0,Yes,No,70,No,No phone service,1,No,Yes,Yes,Yes,Yes,Yes,3,No,3,57.8,4039.3,No,3,Two year,1,DSL,3,Bank transfer (automatic)
9,0229-LFJAF,Male,0,No,No,72,Yes,Yes,1,Yes,Yes,Yes,Yes,No,No,3,No,3,69.65,4908.25,No,3,Two year,1,DSL,3,Bank transfer (automatic)
10,0230-WEQUW,Male,0,Yes,No,66,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,No,3,Yes,3,56.6,3789.2,No,3,Two year,1,DSL,3,Bank transfer (automatic)
11,0238-WHBIQ,Male,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,89.7,6339.3,No,3,Two year,1,DSL,4,Credit card (automatic)
12,0244-LGNFY,Female,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,3,92.65,6733,No,3,Two year,1,DSL,3,Bank transfer (automatic)
13,0253-ZTEOB,Female,0,Yes,Yes,48,Yes,Yes,1,No,Yes,No,Yes,Yes,Yes,3,No,1,79.65,3870.3,No,3,Two year,1,DSL,1,Electronic check
14,0263-FJTQO,Male,0,Yes,Yes,50,Yes,Yes,1,Yes,No,No,Yes,Yes,No,3,Yes,4,70.5,3486.65,No,3,Two year,1,DSL,4,Credit card (automatic)
15,0270-THENM,Male,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,Yes,Yes,No,No,3,No,3,69.85,5102.35,No,3,Two year,1,DSL,3,Bank transfer (automatic)
16,0277-ORXQS,Male,0,Yes,Yes,66,No,No phone service,1,No,No,No,Yes,Yes,Yes,3,No,3,50.55,3364.55,No,3,Two year,1,DSL,3,Bank transfer (automatic)
17,0298-XACET,Male,0,Yes,Yes,52,No,No phone service,1,No,Yes,Yes,Yes,Yes,No,3,No,2,50.2,2554,No,3,Two year,1,DSL,2,Mailed check
18,0301-FIDRB,Female,0,Yes,Yes,72,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,3,63.8,4684.3,No,3,Two year,1,DSL,3,Bank transfer (automatic)
19,0336-KXKFK,Male,0,No,No,72,No,No phone service,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,4,61.2,4390.25,No,3,Two year,1,DSL,4,Credit card (automatic)
20,0336-PIKEI,Male,1,Yes,No,72,Yes,No,1,Yes,Yes,Yes,Yes,Yes,No,3,No,3,74.4,5360.75,No,3,Two year,1,DSL,3,Bank transfer (automatic)
21,0343-QLUZP,Male,0,No,No,60,No,No phone service,1,Yes,Yes,Yes,No,No,No,3,No,3,39.6,2424.5,No,3,Two year,1,DSL,3,Bank transfer (automatic)
22,0361-HJRDX,Female,0,No,No,68,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,64.35,4539.6,No,3,Two year,1,DSL,4,Credit card (automatic)
23,0363-SVHYR,Male,0,Yes,Yes,71,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,3,86.85,6263.8,No,3,Two year,1,DSL,3,Bank transfer (automatic)
24,0379-DJQHR,Male,0,Yes,Yes,67,Yes,No,1,Yes,Yes,Yes,No,Yes,Yes,3,No,4,81.35,5398.6,No,3,Two year,1,DSL,4,Credit card (automatic)
25,0383-CLDDA,Female,0,No,No,69,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,4,85.35,5897.4,No,3,Two year,1,DSL,4,Credit card (automatic)
26,0412-UCCNP,Male,0,No,No,55,Yes,No,1,Yes,No,Yes,Yes,No,No,3,Yes,1,59.2,3175.85,No,3,Two year,1,DSL,1,Electronic check
27,0420-TXVSG,Male,0,Yes,No,66,Yes,Yes,1,Yes,Yes,Yes,No,No,No,3,Yes,4,66.1,4428.45,No,3,Two year,1,DSL,4,Credit card (automatic)
28,0436-TWFFZ,Female,0,No,No,67,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,2,85.25,5714.2,No,3,Two year,1,DSL,2,Mailed check
29,0440-EKDCF,Male,0,Yes,No,62,Yes,No,1,No,Yes,Yes,Yes,No,No,3,Yes,4,60.15,3753.2,No,3,Two year,1,DSL,4,Credit card (automatic)
30,0455-ENTCR,Male,0,Yes,No,66,Yes,Yes,1,Yes,Yes,No,Yes,Yes,Yes,3,No,1,85.25,5538.35,No,3,Two year,1,DSL,1,Electronic check
31,0458-HEUZG,Female,0,No,No,13,No,No phone service,1,No,No,Yes,Yes,No,No,3,No,2,35.4,450.4,No,3,Two year,1,DSL,2,Mailed check
