year,country,measure,measurement
1955,Afghanistan,pop,8891209.0
1960,Afghanistan,pop,9829450.0
1965,Afghanistan,pop,10997885.0
1970,Afghanistan,pop,12430623.0
1975,Afghanistan,pop,14132019.0
1980,Afghanistan,pop,15112149.0
1985,Afghanistan,pop,13796928.0
1990,Afghanistan,pop,14669339.0
1995,Afghanistan,pop,20881480.0
2000,Afghanistan,pop,23898198.0
2005,Afghanistan,pop,29928987.0
1955,Argentina,pop,18927821.0
1960,Argentina,pop,20616009.0
1965,Argentina,pop,22283100.0
1970,Argentina,pop,23962313.0
1975,Argentina,pop,26081880.0
1980,Argentina,pop,28369799.0
1985,Argentina,pop,30675059.0
1990,Argentina,pop,33022202.0
1995,Argentina,pop,35311049.0
2000,Argentina,pop,37497728.0
2005,Argentina,pop,39537943.0
1955,Aruba,pop,53865.0
1960,Aruba,pop,57203.0
1965,Aruba,pop,59020.0
1970,Aruba,pop,59039.0
1975,Aruba,pop,59390.0
1980,Aruba,pop,60266.0
1985,Aruba,pop,64129.0
1990,Aruba,pop,66653.0
1995,Aruba,pop,67836.0
2000,Aruba,pop,69539.0
2005,Aruba,pop,71566.0
1955,Australia,pop,9277087.0
1960,Australia,pop,10361273.0
1965,Australia,pop,11439384.0
1970,Australia,pop,12660160.0
1975,Australia,pop,13771400.0
1980,Australia,pop,14615900.0
1985,Australia,pop,15788300.0
1990,Australia,pop,17022133.0
1995,Australia,pop,18116171.0
2000,Australia,pop,19164620.0
2005,Australia,pop,20090437.0
1955,Austria,pop,6946885.0
1960,Austria,pop,7047437.0
1965,Austria,pop,7270889.0
1970,Austria,pop,7467086.0
1975,Austria,pop,7578903.0
1980,Austria,pop,7549433.0
1985,Austria,pop,7559776.0
1990,Austria,pop,7722953.0
1995,Austria,pop,8047433.0
2000,Austria,pop,8113413.0
2005,Austria,pop,8184691.0
1955,Bahamas,pop,87138.0
1960,Bahamas,pop,112234.0
1965,Bahamas,pop,139205.0
1970,Bahamas,pop,170323.0
1975,Bahamas,pop,189139.0
1980,Bahamas,pop,209944.0
1985,Bahamas,pop,234988.0
1990,Bahamas,pop,257253.0
1995,Bahamas,pop,275303.0
2000,Bahamas,pop,290075.0
2005,Bahamas,pop,301790.0
1955,Bangladesh,pop,49601520.0
1960,Bangladesh,pop,54621538.0
1965,Bangladesh,pop,60332117.0
1970,Bangladesh,pop,67402621.0
1975,Bangladesh,pop,76253310.0
1980,Bangladesh,pop,88076996.0
1985,Bangladesh,pop,99752733.0
1990,Bangladesh,pop,109896945.0
1995,Bangladesh,pop,119186448.0
2000,Bangladesh,pop,130406594.0
2005,Bangladesh,pop,144319628.0
1955,Barbados,pop,227255.0
1960,Barbados,pop,232339.0
1965,Barbados,pop,234980.0
1970,Barbados,pop,238756.0
1975,Barbados,pop,247147.0
1980,Barbados,pop,251966.0
1985,Barbados,pop,257446.0
1990,Barbados,pop,262624.0
1995,Barbados,pop,267907.0
2000,Barbados,pop,273483.0
2005,Barbados,pop,278870.0
1955,Belgium,pop,8868475.0
1960,Belgium,pop,9118700.0
1965,Belgium,pop,9448100.0
1970,Belgium,pop,9637800.0
1975,Belgium,pop,9794800.0
1980,Belgium,pop,9846800.0
1985,Belgium,pop,9858200.0
1990,Belgium,pop,9969310.0
1995,Belgium,pop,10155459.0
2000,Belgium,pop,10263618.0
2005,Belgium,pop,10364388.0
1955,Bolivia,pop,3074311.0
1960,Bolivia,pop,3434073.0
1965,Bolivia,pop,3853315.0
1970,Bolivia,pop,4346218.0
1975,Bolivia,pop,4914316.0
1980,Bolivia,pop,5441298.0
1985,Bolivia,pop,5934935.0
1990,Bolivia,pop,6573900.0
1995,Bolivia,pop,7376582.0
2000,Bolivia,pop,8152620.0
2005,Bolivia,pop,8857870.0
1955,Brazil,pop,61773546.0
1960,Brazil,pop,71694810.0
1965,Brazil,pop,83092908.0
1970,Brazil,pop,95684297.0
1975,Brazil,pop,108823732.0
1980,Brazil,pop,122958132.0
1985,Brazil,pop,137302933.0
1990,Brazil,pop,151083809.0
1995,Brazil,pop,163542501.0
2000,Brazil,pop,175552771.0
2005,Brazil,pop,186112794.0
1955,Canada,pop,16050356.0
1960,Canada,pop,18266765.0
1965,Canada,pop,20071104.0
1970,Canada,pop,21749986.0
1975,Canada,pop,23209200.0
1980,Canada,pop,24593300.0
1985,Canada,pop,25941600.0
1990,Canada,pop,27790600.0
1995,Canada,pop,29619002.0
2000,Canada,pop,31278097.0
2005,Canada,pop,32805041.0
1955,Chile,pop,6743269.0
1960,Chile,pop,7585349.0
1965,Chile,pop,8509950.0
1970,Chile,pop,9368558.0
1975,Chile,pop,10251542.0
1980,Chile,pop,11093718.0
1985,Chile,pop,12066701.0
1990,Chile,pop,13127760.0
1995,Chile,pop,14205449.0
2000,Chile,pop,15153450.0
2005,Chile,pop,15980912.0
1955,China,pop,608655000.0
1960,China,pop,667070000.0
1965,China,pop,715185000.0
1970,China,pop,818315000.0
1975,China,pop,916395000.0
1980,China,pop,981235000.0
1985,China,pop,1051040000.0
1990,China,pop,1135185000.0
1995,China,pop,1204855000.0
2000,China,pop,1262645000.0
2005,China,pop,1303182268.0
1955,Colombia,pop,13588405.0
1960,Colombia,pop,15952727.0
1965,Colombia,pop,18646175.0
1970,Colombia,pop,21429658.0
1975,Colombia,pop,24114177.0
1980,Colombia,pop,26582811.0
1985,Colombia,pop,29678395.0
1990,Colombia,pop,32858579.0
1995,Colombia,pop,36280883.0
2000,Colombia,pop,39685655.0
2005,Colombia,pop,42954279.0
1955,Costa Rica,pop,1031782.0
1960,Costa Rica,pop,1248022.0
1965,Costa Rica,pop,1487605.0
1970,Costa Rica,pop,1735523.0
1975,Costa Rica,pop,1991580.0
1980,Costa Rica,pop,2299124.0
1985,Costa Rica,pop,2643808.0
1990,Costa Rica,pop,3027175.0
1995,Costa Rica,pop,3383786.0
2000,Costa Rica,pop,3710558.0
2005,Costa Rica,pop,4016173.0
1955,Croatia,pop,3955526.0
1960,Croatia,pop,4036145.0
1965,Croatia,pop,4133313.0
1970,Croatia,pop,4205389.0
1975,Croatia,pop,4255000.0
1980,Croatia,pop,4383000.0
1985,Croatia,pop,4457874.0
1990,Croatia,pop,4508347.0
1995,Croatia,pop,4496683.0
2000,Croatia,pop,4410830.0
2005,Croatia,pop,4495904.0
1955,Cuba,pop,6381106.0
1960,Cuba,pop,7027210.0
1965,Cuba,pop,7809916.0
1970,Cuba,pop,8542746.0
1975,Cuba,pop,9290074.0
1980,Cuba,pop,9652975.0
1985,Cuba,pop,10078658.0
1990,Cuba,pop,10544793.0
1995,Cuba,pop,10896802.0
2000,Cuba,pop,11134273.0
2005,Cuba,pop,11346670.0
1955,Dominican Republic,pop,2737257.0
1960,Dominican Republic,pop,3231488.0
1965,Dominican Republic,pop,3805881.0
1970,Dominican Republic,pop,4422755.0
1975,Dominican Republic,pop,5048499.0
1980,Dominican Republic,pop,5696855.0
1985,Dominican Republic,pop,6377765.0
1990,Dominican Republic,pop,7077651.0
1995,Dominican Republic,pop,7730224.0
2000,Dominican Republic,pop,8385828.0
2005,Dominican Republic,pop,9049595.0
1955,Ecuador,pop,3842399.0
1960,Ecuador,pop,4415956.0
1965,Ecuador,pop,5117779.0
1970,Ecuador,pop,5939246.0
1975,Ecuador,pop,6871698.0
1980,Ecuador,pop,7920499.0
1985,Ecuador,pop,9061664.0
1990,Ecuador,pop,10318036.0
1995,Ecuador,pop,11438004.0
2000,Ecuador,pop,12505204.0
2005,Ecuador,pop,13363593.0
1955,Egypt,pop,23855527.0
1960,Egypt,pop,26846610.0
1965,Egypt,pop,30265148.0
1970,Egypt,pop,33574026.0
1975,Egypt,pop,36952499.0
1980,Egypt,pop,42634215.0
1985,Egypt,pop,50052381.0
1990,Egypt,pop,56694413.0
1995,Egypt,pop,63321615.0
2000,Egypt,pop,70492342.0
2005,Egypt,pop,77505756.0
1955,El Salvador,pop,2221139.0
1960,El Salvador,pop,2581583.0
1965,El Salvador,pop,3017852.0
1970,El Salvador,pop,3603907.0
1975,El Salvador,pop,4071179.0
1980,El Salvador,pop,4566199.0
1985,El Salvador,pop,4664361.0
1990,El Salvador,pop,5099884.0
1995,El Salvador,pop,5568437.0
2000,El Salvador,pop,6122515.0
2005,El Salvador,pop,6704932.0
1955,Finland,pop,4234900.0
1960,Finland,pop,4429600.0
1965,Finland,pop,4563732.0
1970,Finland,pop,4606307.0
1975,Finland,pop,4711439.0
1980,Finland,pop,4779535.0
1985,Finland,pop,4901783.0
1990,Finland,pop,4986431.0
1995,Finland,pop,5104654.0
2000,Finland,pop,5168595.0
2005,Finland,pop,5223442.0
1955,France,pop,43427669.0
1960,France,pop,45670000.0
1965,France,pop,48763000.0
1970,France,pop,50787000.0
1975,France,pop,52758427.0
1980,France,pop,53869743.0
1985,France,pop,55171224.0
1990,France,pop,56735161.0
1995,France,pop,58149727.0
2000,France,pop,59381628.0
2005,France,pop,60656178.0
1955,Georgia,pop,3827154.0
1960,Georgia,pop,4146570.0
1965,Georgia,pop,4464959.0
1970,Georgia,pop,4694491.0
1975,Georgia,pop,4897656.0
1980,Georgia,pop,5045697.0
1985,Georgia,pop,5192957.0
1990,Georgia,pop,5426207.0
1995,Georgia,pop,5012952.0
2000,Georgia,pop,4777209.0
2005,Georgia,pop,4677401.0
1955,Germany,pop,70195612.0
1960,Germany,pop,72480869.0
1965,Germany,pop,75638851.0
1970,Germany,pop,77783164.0
1975,Germany,pop,78682325.0
1980,Germany,pop,78297904.0
1985,Germany,pop,77684907.0
1990,Germany,pop,79380394.0
1995,Germany,pop,81653702.0
2000,Germany,pop,82187909.0
2005,Germany,pop,82431390.0
1955,Greece,pop,7965538.0
1960,Greece,pop,8327405.0
1965,Greece,pop,8550333.0
1970,Greece,pop,8792806.0
1975,Greece,pop,9046542.0
1980,Greece,pop,9642505.0
1985,Greece,pop,9923253.0
1990,Greece,pop,10129603.0
1995,Greece,pop,10457554.0
2000,Greece,pop,10559110.0
2005,Greece,pop,10668354.0
1955,Grenada,pop,84621.0
1960,Grenada,pop,90148.0
1965,Grenada,pop,93290.0
1970,Grenada,pop,95410.0
1975,Grenada,pop,95819.0
1980,Grenada,pop,90164.0
1985,Grenada,pop,92203.0
1990,Grenada,pop,92360.0
1995,Grenada,pop,90603.0
2000,Grenada,pop,89312.0
2005,Grenada,pop,89502.0
1955,Haiti,pop,3376419.0
1960,Haiti,pop,3722743.0
1965,Haiti,pop,4137405.0
1970,Haiti,pop,4604915.0
1975,Haiti,pop,4828338.0
1980,Haiti,pop,5029725.0
1985,Haiti,pop,5517977.0
1990,Haiti,pop,6126101.0
1995,Haiti,pop,6675578.0
2000,Haiti,pop,7306302.0
2005,Haiti,pop,8121622.0
1955,Hong Kong,pop,2490400.0
1960,Hong Kong,pop,3075300.0
1965,Hong Kong,pop,3597900.0
1970,Hong Kong,pop,3959000.0
1975,Hong Kong,pop,4395800.0
1980,Hong Kong,pop,5063100.0
1985,Hong Kong,pop,5456200.0
1990,Hong Kong,pop,5687959.0
1995,Hong Kong,pop,6225347.0
2000,Hong Kong,pop,6658720.0
2005,Hong Kong,pop,6898686.0
1955,Iceland,pop,158044.0
1960,Iceland,pop,175860.0
1965,Iceland,pop,192288.0
1970,Iceland,pop,204104.0
1975,Iceland,pop,218031.0
1980,Iceland,pop,228161.0
1985,Iceland,pop,241403.0
1990,Iceland,pop,254719.0
1995,Iceland,pop,267527.0
2000,Iceland,pop,281043.0
2005,Iceland,pop,296737.0
1955,India,pop,393000000.0
1960,India,pop,434000000.0
1965,India,pop,485000000.0
1970,India,pop,541000000.0
1975,India,pop,607000000.0
1980,India,pop,679000000.0
