country,life_expect_1955,life_expect_1960,life_expect_1965,life_expect_1970,life_expect_1975,life_expect_1980,life_expect_1985,life_expect_1990,life_expect_1995,life_expect_2000,life_expect_2005,pop_1955,pop_1960,pop_1965,pop_1970,pop_1975,pop_1980,pop_1985,pop_1990,pop_1995,pop_2000,pop_2005
Afghanistan,30.332,31.997,34.02,36.088,38.438,39.854,40.822,41.674,41.763,42.129,43.828,8891209,9829450,10997885,12430623,14132019,15112149,13796928,14669339,20881480,23898198,29928987
Argentina,64.399,65.142,65.634,67.065,68.481,69.942,70.774,71.868,73.275,74.34,75.32,18927821,20616009,22283100,23962313,26081880,28369799,30675059,33022202,35311049,37497728,39537943
Aruba,64.381,66.606,68.336,70.941,71.83,74.116,74.494,74.108,73.011,73.451,74.239,53865,57203,59020,59039,59390,60266,64129,66653,67836,69539,71566
Australia,70.33,70.93,71.1,71.93,73.49,74.74,76.32,77.56,78.83,80.37,81.235,9277087,10361273,11439384,12660160,13771400,14615900,15788300,17022133,18116171,19164620,20090437
Austria,67.48,69.54,70.14,70.63,72.17,73.18,74.94,76.04,77.51,78.98,79.829,6946885,7047437,7270889,7467086,7578903,7549433,7559776,7722953,8047433,8113413,8184691
Bahamas,62.405,64.209,65.795,66.515,67.199,67.874,69.524,69.171,68.472,71.068,73.495,87138,112234,139205,170323,189139,209944,234988,257253,275303,290075,301790
Bangladesh,39.348,41.216,43.453,45.252,46.923,50.009,52.819,56.018,59.412,62.013,64.062,49601520,54621538,60332117,67402621,76253310,88076996,99752733,109896945,119186448,130406594,144319628
Barbados,62.57,65.87,67.62,69.42,71.27,72.695,74.027,74.894,74.912,75.97,77.296,227255,232339,234980,238756,247147,251966,257446,262624,267907,273483,278870
Belgium,69.24,70.25,70.94,71.44,72.8,73.93,75.35,76.46,77.53,78.32,79.441,8868475,9118700,9448100,9637800,9794800,9846800,9858200,9969310,10155459,10263618,10364388
Bolivia,41.89,43.428,45.032,46.714,50.023,53.859,57.251,59.957,62.05,63.883,65.554,3074311,3434073,3853315,4346218,4914316,5441298,5934935,6573900,7376582,8152620,8857870
Brazil,53.285,55.665,57.632,59.504,61.489,63.336,65.205,67.057,69.388,71.006,72.39,61773546,71694810,83092908,95684297,108823732,122958132,137302933,151083809,163542501,175552771,186112794
Canada,69.96,71.3,72.13,72.88,74.21,75.76,76.86,77.95,78.61,79.77,80.653,16050356,18266765,20071104,21749986,23209200,24593300,25941600,27790600,29619002,31278097,32805041
Chile,56.074,57.924,60.523,63.441,67.052,70.565,72.492,74.126,75.816,77.86,78.553,6743269,7585349,8509950,9368558,10251542,11093718,12066701,13127760,14205449,15153450,15980912
China,50.54896,44.50136,58.38112,63.11888,63.96736,65.525,67.274,68.69,70.426,72.028,72.961,608655000,667070000,715185000,818315000,916395000,981235000,1051040000,1135185000,1204855000,1262645000,1303182268
Colombia,55.118,57.863,59.963,61.623,63.837,66.653,67.768,68.421,70.313,71.682,72.889,13588405,15952727,18646175,21429658,24114177,26582811,29678395,32858579,36280883,39685655,42954279
Costa Rica,60.026,62.842,65.424,67.849,70.75,73.45,74.752,75.713,77.26,78.123,78.782,1031782,1248022,1487605,1735523,1991580,2299124,2643808,3027175,3383786,3710558,4016173
Croatia,64.77,67.13,68.5,69.61,70.64,70.46,71.52,72.527,73.68,74.876,75.748,3955526,4036145,4133313,4205389,4255000,4383000,4457874,4508347,4496683,4410830,4495904
Cuba,62.325,65.246,68.29,70.723,72.649,73.717,74.174,74.414,76.151,77.158,78.273,6381106,7027210,7809916,8542746,9290074,9652975,10078658,10544793,10896802,11134273,11346670
Dominican Republic,49.828,53.459,56.751,59.631,61.788,63.727,66.046,68.457,69.957,70.847,72.235,2737257,3231488,3805881,4422755,5048499,5696855,6377765,7077651,7730224,8385828,9049595
Ecuador,51.356,54.64,56.678,58.796,61.31,64.342,67.231,69.613,72.312,74.173,74.994,3842399,4415956,5117779,5939246,6871698,7920499,9061664,10318036,11438004,12505204,13363593
Egypt,44.444,46.992,49.293,51.137,53.319,56.006,59.797,63.674,67.217,69.806,71.338,23855527,26846610,30265148,33574026,36952499,42634215,50052381,56694413,63321615,70492342,77505756
El Salvador,48.57,52.307,55.855,58.207,56.696,56.604,63.154,66.798,69.535,70.734,71.878,2221139,2581583,3017852,3603907,4071179,4566199,4664361,5099884,5568437,6122515,6704932
Finland,67.49,68.75,69.83,70.87,72.52,74.55,74.83,75.7,77.13,78.37,79.313,4234900,4429600,4563732,4606307,4711439,4779535,4901783,4986431,5104654,5168595,5223442
France,68.93,70.51,71.55,72.38,73.83,74.89,76.34,77.46,78.64,79.59,80.657,43427669,45670000,48763000,50787000,52758427,53869743,55171224,56735161,58149727,59381628,60656178
Georgia,62.625,64.644,66.654,68.158,69.634,69.638,70.45,70.465,70.49,70.476,70.987,3827154,4146570,4464959,4694491,4897656,5045697,5192957,5426207,5012952,4777209,4677401
Germany,69.1,70.3,70.8,71.0,72.5,73.8,74.847,76.07,77.34,78.67,79.406,70195612,72480869,75638851,77783164,78682325,78297904,77684907,79380394,81653702,82187909,82431390
Greece,67.86,69.51,71.0,72.34,73.68,75.24,76.67,77.03,77.869,78.256,79.483,7965538,8327405,8550333,8792806,9046542,9642505,9923253,10129603,10457554,10559110,10668354
Grenada,63.114,63.608,64.091,64.577,65.035,65.503,66.002,66.469,66.986,67.746,68.724,84621,90148,93290,95410,95819,90164,92203,92360,90603,89312,89502
Haiti,40.696,43.59,46.243,48.042,49.923,51.461,53.636,55.089,56.671,58.137,60.916,3376419,3722743,4137405,4604915,4828338,5029725,5517977,6126101,6675578,7306302,8121622
